,number_of_vehicle_parked,power_demand
2017-07-28 05:22:00,17478.0,0.0
2017-07-28 05:23:00,17480.0,0.0
2017-07-28 05:24:00,17482.0,0.0
2017-07-28 05:25:00,17476.0,0.0
2017-07-28 05:26:00,17475.0,0.0
2017-07-28 05:27:00,17479.0,0.0
2017-07-28 05:28:00,17483.0,0.0
2017-07-28 05:29:00,17484.0,0.0
2017-07-28 05:30:00,17350.0,0.0
2017-07-28 05:31:00,17348.0,0.0
2017-07-28 05:32:00,17350.0,0.0
2017-07-28 05:33:00,17352.0,0.0
2017-07-28 05:34:00,17353.0,0.0
2017-07-28 05:35:00,17358.0,0.0
2017-07-28 05:36:00,17360.0,0.0
2017-07-28 05:37:00,17361.0,0.0
2017-07-28 05:38:00,17367.0,0.0
2017-07-28 05:39:00,17367.0,0.0
2017-07-28 05:40:00,17351.0,0.0
2017-07-28 05:41:00,17351.0,0.0
2017-07-28 05:42:00,17353.0,0.0
2017-07-28 05:43:00,17353.0,0.0
2017-07-28 05:44:00,17354.0,0.0
2017-07-28 05:45:00,17308.0,0.0063
2017-07-28 05:46:00,17309.0,0.0063
2017-07-28 05:47:00,17308.0,0.0063
2017-07-28 05:48:00,17313.0,0.0063
2017-07-28 05:49:00,17314.0,0.0063
2017-07-28 05:50:00,17311.0,0.0063
2017-07-28 05:51:00,17311.0,0.0063
2017-07-28 05:52:00,17313.0,0.0063
2017-07-28 05:53:00,17318.0,0.0063
2017-07-28 05:54:00,17317.0,0.0063
2017-07-28 05:55:00,17338.0,0.0
2017-07-28 05:56:00,17340.0,0.0
2017-07-28 05:57:00,17344.0,0.0
2017-07-28 05:58:00,17346.0,0.0
2017-07-28 05:59:00,17349.0,0.0
2017-07-28 06:00:00,17219.0,0.00830288177123
2017-07-28 06:01:00,17218.0,0.00830288177123
2017-07-28 06:02:00,17225.0,0.00830288177123
2017-07-28 06:03:00,17231.0,0.00830288177123
2017-07-28 06:04:00,17233.0,0.00830288177123
2017-07-28 06:05:00,17241.0,0.00830288177123
2017-07-28 06:06:00,17237.0,0.00830288177123
2017-07-28 06:07:00,17240.0,0.00830288177123
2017-07-28 06:08:00,17240.0,0.00830288177123
