1.5mv2g,netload,uncontrolled,Pmax,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown,,,1.5mv1g,netload,uncontrolled,pamx,netload,uncontrolled,pmin,netload,uncontrolled,rampup,netload,uncontrolled,rampdown
40,27156897.76,28177775.13,28432994.48,13256156.37,14277033.75,14532253.09,17587247.43,18608124.81,18863344.15,17730428.53,18751305.9,18999994.88,,,,27156897.76,28177775.13,28432994.48,13256156.37,14277033.75,14532253.09,17587247.43,18608124.81,18863344.15,17730428.53,18751305.9,18994285.63
41,27199398.3,28220275.67,28475495.02,13158906.4,14179783.77,14435003.12,17583679.72,18604557.1,18859776.44,17623746.04,18644623.42,18899842.76,,,,27199398.3,28220275.67,28475495.02,13158906.4,14179783.77,14435003.12,17583679.72,18604557.1,18859776.44,17623746.04,18644623.42,18899842.76
42,27098302.16,28119179.54,28374398.88,13124171.93,14145049.31,14400268.65,17589087.46,18609964.83,18865184.18,17557792.18,18578669.55,18833888.9,,,,27098302.16,28119179.54,28374398.88,13124171.93,14145049.31,14400268.65,17589087.46,18609964.83,18865184.18,17557792.18,18578669.55,18833888.9
43,27061694.04,28082571.41,28337790.76,13093089.44,14113966.81,14369186.16,17610107.41,18630984.79,18886204.13,17527432.35,18548309.72,18791653.9,,,,27061694.04,28082571.41,28337790.76,13093089.44,14113966.81,14369186.16,17610107.41,18630984.79,18886204.13,17527432.35,18548309.72,18785944.65
44,27034301.71,28055179.08,28310398.43,13022551.39,14043428.76,14298648.11,17662964.33,18683841.71,18906899.52,17451271.05,18472148.43,18727367.77,,,,27034301.71,28055179.08,28310398.43,13022551.39,14043428.76,14298648.11,17662964.33,18683841.71,18902338.69,17451271.05,18472148.43,18727367.77
45,27026692.66,28047570.03,28302789.38,13039849.78,14060727.16,14315946.5,17629932,18650809.38,18906028.72,17450258.87,18471136.24,18726355.59,,,,27026692.66,28047570.03,28302789.38,13039849.78,14060727.16,14315946.5,17629932,18650809.38,18906028.72,17450258.87,18471136.24,18726355.59
46,26951810.24,27972687.61,28227906.96,12952138.44,13973015.81,14228235.16,17640843.38,18661720.75,18916940.1,17497126.5,18518003.88,18749046.64,,,,26951810.24,27972687.61,28227906.96,12952138.44,13973015.81,14228235.16,17640843.38,18661720.75,18912899.07,17497126.5,18518003.88,18743337.39
47,26950321.83,27971199.2,28226418.55,12857499.28,13878376.66,14133596,17631228.19,18652105.56,18907324.91,17473589.84,18494467.21,18749686.56,,,,26950321.83,27971199.2,28226418.55,12857499.28,13878376.66,14133596,17631228.19,18652105.56,18907324.91,17473589.84,18494467.21,18749686.56
48,26854461.39,27875338.77,28130558.11,13003360.99,14024238.36,14279457.71,17735598.81,18756476.19,18931706.67,17491722.81,18512600.18,18767819.53,,,,26854461.39,27875338.77,28130558.11,13003360.99,14024238.36,14279457.71,17735598.81,18756476.19,18927145.84,17491722.81,18512600.18,18767819.53
49,26778131.44,27799008.82,28054228.16,12986052.84,14006930.22,14262149.56,17658425.54,18679302.91,18934522.26,17538435.74,18559313.12,18814532.46,,,,26778131.44,27799008.82,28054228.16,12986052.84,14006930.22,14262149.56,17658425.54,18679302.91,18934522.26,17538435.74,18559313.12,18814532.46
50,26780863.75,27801741.13,28056960.47,12939984.76,13960862.13,14216081.48,17675391.99,18696269.36,18951488.71,17575896.86,18596774.23,18851993.58,,,,26780863.75,27801741.13,28056960.47,12939984.76,13960862.13,14216081.48,17675391.99,18696269.36,18951488.71,17575896.86,18596774.23,18851993.58
51,26700545.37,27721422.75,27976642.09,12859278.34,13880155.71,14135375.06,17753401.53,18774278.9,19029498.25,17706272.18,18727149.55,18974515.35,,,,26700545.37,27721422.75,27976642.09,12859278.34,13880155.71,14135375.06,17753401.53,18774278.9,19029498.25,17706272.18,18727149.55,18963096.84
52,26699411.59,27720288.97,27975508.31,12858876.98,13879754.36,14134973.7,17824831.79,18845709.16,19100928.51,17855092.77,18875970.14,19074985.98,,,,26699411.59,27720288.97,27975508.31,12858876.98,13879754.36,14134973.7,17824831.79,18845709.16,19100928.51,17855092.77,18875970.14,19063567.47
53,26728089.63,27748967,28004186.35,12910953.21,13931830.59,14187049.93,17895666.91,18916544.28,19171763.63,17877308.75,18898186.13,19153405.47,,,,26728089.63,27748967,28004186.35,12910953.21,13931830.59,14187049.93,17895666.91,18916544.28,19171763.63,17877308.75,18898186.13,19153405.47
54,26771391.21,27792268.59,28047487.93,12839700.89,13860578.27,14115797.61,18052411.06,19073288.44,19267503.41,18086663.22,19107540.6,19345879.76,,,,26771391.21,27792268.59,28047487.93,12839700.89,13860578.27,14115797.61,18052411.06,19073288.44,19262942.58,18086663.22,19107540.6,19331291.28
55,26709181.48,27730058.85,27985278.2,12791511.21,13812388.58,14067607.93,18065580.29,19086457.67,19341677.01,18258107.59,19278984.97,19516302.91,,,,26709181.48,27730058.85,27985278.2,12791511.21,13812388.58,14067607.93,18065580.29,19086457.67,19341677.01,18258107.59,19278984.97,19498544.46
56,26752752.08,27773629.46,28028848.8,12763616.99,13784494.36,14039713.71,18152506.61,19173383.99,19428603.33,18388578.2,19409455.58,19664674.92,,,,26752752.08,27773629.46,28028848.8,12763616.99,13784494.36,14039713.71,18152506.61,19173383.99,19428603.33,18388578.2,19409455.58,19655165.01
57,26809506.51,27830383.88,28085603.23,12759446.61,13780323.98,14035543.33,18280302.88,19301180.25,19540857.93,18525056.2,19545933.57,19801152.92,,,,26809506.51,27830383.88,28085603.23,12759446.61,13780323.98,14035543.33,18280302.88,19301180.25,19536297.09,18525056.2,19545933.57,19801152.92
58,26883253.48,27904130.86,28159350.2,12703596.33,13724473.71,13979693.05,18355449.62,19376326.99,19631546.34,18711925.02,19732802.39,19986097.57,,,,26883253.48,27904130.86,28159350.2,12703596.33,13724473.71,13979693.05,18355449.62,19376326.99,19631546.34,18711925.02,19732802.39,19974679.07
