1.5m,netload,uncontrolled,150v2g,125v2g,150v1g,125v1g,,0.8m,unontrolled,150v2g,125v2g,150v1g,125v1g,,0.2m,uncontrolled,150v2g,125v2g,150v1g,125v1g
62,17550023.94,18570901.32,19081340,18826120.66,19081340,18826120.66,,,18094491.87,18366725.84,18230608.86,18366725.84,18366725.84,,,17686140.92,17754199.42,17720170.17,17754199.42,17720170.17
63,17577088.8,18597966.18,19108404.86,18853185.52,19108404.86,18853185.52,,,18121556.73,18393790.7,18257673.72,18393790.7,18393790.7,,,17713205.78,17781264.28,17747235.03,17781264.28,17747235.03
64,17631491.11,18652368.48,19162807.17,18907587.83,19162807.17,18907587.83,,,18175959.04,18448193.01,18312076.02,18448193.01,18448193.01,,,17767608.09,17835666.58,17801637.34,17835666.58,17801637.34
65,17757209.5,18778086.87,19288525.56,19033306.22,19288525.56,19033306.22,,,18301677.43,18573911.4,18437794.42,18573911.4,18573911.4,,,17893326.48,17961384.97,17927355.73,17961384.97,17927355.73
66,17804305.38,18825182.76,19335621.44,19080402.1,19335621.44,19080402.1,,,18348773.31,18621007.28,18484890.3,18621007.28,18621007.28,,,17940422.36,18008480.86,17974451.61,18008480.86,17974451.61
67,17961620.78,18982498.16,19492936.84,19237717.5,19492936.84,19237717.5,,,18506088.71,18778322.68,18642205.7,18778322.68,18778322.68,,,18097737.76,18165796.26,18131767.01,18165796.26,18131767.01
68,18155725.64,19176603.02,19687041.71,19431822.36,19687041.71,19431822.36,,,18700193.58,18972427.54,18836310.56,18972427.54,18972427.54,,,18291842.63,18359901.12,18325871.87,18359901.12,18325871.87
69,18363540.72,19384418.1,19894856.79,19639637.44,19894856.79,19639637.44,,,18908008.66,19180242.62,19044125.64,19180242.62,19180242.62,,,18499657.71,18567716.2,18533686.95,18567716.2,18533686.95
70,18507475.18,19528352.56,20038791.25,19783571.9,20038791.25,19783571.9,,,19051943.12,19324177.08,19188060.1,19324177.08,19324177.08,,,18643592.17,18711650.66,18677621.41,18711650.66,18677621.41
71,18588372,19609249.37,20119688.06,19864468.72,20119688.06,19864468.72,,,19132839.93,19405073.9,19268956.92,19405073.9,19405073.9,,,18724488.98,18792547.47,18758518.23,18792547.47,18758518.23
72,18707573.86,19728451.23,20238889.92,19983670.57,20238889.92,19983670.57,,,19252041.79,19524275.76,19388158.77,19524275.76,19524275.76,,,18843690.84,18911749.33,18877720.08,18911749.33,18877720.08
73,18478229.19,19499106.56,20009545.25,19754325.91,20009545.25,19754325.91,,,19022697.12,19294931.09,19158814.11,19294931.09,19294931.09,,,18614346.17,18682404.66,18648375.42,18682404.66,18648375.42
